Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
18,Male,36,18,7,14,Standard,Monthly,635,19,No
34,Male,28,7,8,7,Premium,Monthly,524,1,No
39,Male,13,27,6,21,Basic,Quarterly,382,16,No
32,Female,3,12,8,8,Basic,Quarterly,990,21,No
35,Female,47,2,8,21,Basic,Monthly,532,7,Yes
40,Male,28,4,0,21,Basic,Annual,377,7,No
44,Male,13,26,3,3,Basic,Monthly,486,25,No
52,Female,50,10,2,26,Basic,Quarterly,640,3,No
40,Female,35,15,6,20,Basic,Annual,104,27,Yes
41,Male,58,27,1,3,Premium,Annual,392,3,No
30,Female,23,29,1,22,Standard,Annual,255,24,Yes
64,Female,36,17,4,15,Standard,Monthly,237,5,No
43,Female,52,13,10,14,Standard,Quarterly,555,11,No
31,Female,36,23,2,5,Premium,Annual,444,2,No
61,Male,6,15,2,30,Premium,Annual,630,18,No
56,Female,33,7,0,22,Premium,Monthly,664,27,Yes
57,Male,37,15,4,10,Basic,Monthly,186,9,No
41,Female,59,20,0,17,Standard,Quarterly,978,11,No
46,Male,47,14,10,16,Basic,Annual,996,16,Yes
65,Female,26,17,10,25,Basic,Annual,254,1,Yes
25,Male,27,15,2,15,Basic,Quarterly,123,19,No
43,Male,37,11,3,23,Standard,Annual,377,9,No
65,Male,13,4,3,12,Basic,Monthly,921,3,No
25,Female,58,7,5,9,Basic,Annual,920,22,No
45,Male,56,29,0,24,Standard,Annual,335,18,No
20,Male,59,10,5,5,Premium,Quarterly,803,15,No
38,Male,10,9,1,30,Premium,Annual,888,28,No
43,Female,16,20,10,26,Basic,Annual,712,2,No
24,Male,8,12,9,15,Basic,Annual,257,18,No
56,Female,2,20,6,17,Basic,Quarterly,355,12,No
61,Male,58,24,9,5,Premium,Monthly,201,20,No
38,Female,16,13,2,28,Premium,Annual,133,24,Yes
39,Male,24,6,5,28,Premium,Quarterly,910,22,Yes
29,Male,42,8,8,21,Premium,Quarterly,419,27,Yes
31,Male,20,12,1,7,Premium,Annual,115,7,No
25,Male,22,5,5,29,Basic,Monthly,121,20,No
62,Male,22,30,9,21,Basic,Annual,736,24,No
64,Male,13,16,10,18,Standard,Annual,934,11,No
57,Female,7,27,7,23,Standard,Annual,640,1,No
48,Male,41,25,10,1,Standard,Annual,119,13,No
21,Male,3,8,5,15,Premium,Quarterly,994,25,No
26,Female,16,10,0,14,Standard,Annual,411,19,No
63,Male,36,21,8,0,Premium,Annual,817,22,No
28,Male,14,5,3,4,Premium,Monthly,200,7,No
36,Male,51,1,0,7,Premium,Annual,837,16,No
31,Male,34,23,5,12,Standard,Quarterly,164,2,No
64,Female,46,2,1,12,Basic,Quarterly,413,12,No
49,Female,53,16,5,3,Standard,Annual,423,15,No
58,Female,54,18,1,29,Premium,Quarterly,235,29,Yes
51,Male,6,22,7,23,Premium,Quarterly,862,3,No
62,Female,10,11,5,1,Standard,Quarterly,775,6,No
41,Female,55,17,10,12,Premium,Monthly,259,22,No
22,Female,59,9,4,9,Basic,Monthly,581,4,No
56,Male,52,27,5,13,Standard,Annual,796,25,No
59,Female,20,8,10,3,Standard,Annual,317,20,No
51,Female,6,1,9,18,Standard,Quarterly,354,12,Yes
57,Male,5,13,7,3,Basic,Quarterly,821,16,No
56,Female,36,4,4,21,Premium,Quarterly,946,30,Yes
23,Male,42,23,6,24,Standard,Monthly,838,6,Yes
33,Female,52,26,0,10,Standard,Quarterly,136,4,No
29,Male,31,30,8,24,Premium,Quarterly,150,11,Yes
49,Male,40,11,4,17,Premium,Monthly,546,7,No
25,Female,28,8,4,23,Premium,Monthly,716,1,Yes
37,Male,1,7,4,22,Standard,Annual,699,15,No
45,Male,40,10,10,28,Premium,Annual,912,8,Yes
53,Male,13,11,9,14,Basic,Annual,350,9,No
33,Female,60,24,10,18,Premium,Monthly,423,24,Yes
20,Male,5,22,8,0,Premium,Monthly,973,25,No
62,Male,26,18,1,16,Standard,Annual,683,12,No
37,Male,55,8,8,4,Standard,Monthly,561,16,No
51,Male,38,21,4,5,Basic,Quarterly,203,26,No
21,Female,41,13,8,22,Premium,Monthly,538,18,Yes
64,Male,60,25,5,8,Premium,Annual,720,24,No
41,Male,50,15,6,1,Standard,Annual,588,10,No
44,Male,44,30,0,26,Standard,Monthly,656,6,No
20,Male,4,26,8,12,Standard,Annual,733,4,No
18,Male,28,12,3,20,Standard,Monthly,261,13,No
41,Female,58,24,9,16,Standard,Annual,447,20,Yes
50,Male,46,2,4,28,Premium,Annual,527,19,No
59,Male,41,29,3,1,Basic,Quarterly,833,5,No
39,Male,29,25,4,2,Standard,Quarterly,254,20,No
19,Male,17,11,6,24,Standard,Quarterly,715,15,No
29,Female,56,21,3,26,Basic,Quarterly,239,29,Yes
45,Female,20,1,4,15,Standard,Monthly,224,13,No
36,Male,24,29,1,26,Premium,Monthly,566,8,No
20,Female,9,27,5,16,Standard,Annual,295,21,No
30,Female,44,22,4,18,Standard,Quarterly,890,12,No
33,Male,5,25,1,26,Standard,Annual,821,27,No
27,Male,29,30,4,3,Basic,Annual,258,18,No
36,Female,26,7,2,3,Basic,Annual,371,8,No
33,Male,35,29,9,18,Basic,Monthly,335,8,Yes
18,Male,33,18,1,22,Basic,Annual,312,29,No
64,Male,13,20,0,22,Standard,Quarterly,749,14,No
48,Male,36,19,1,13,Premium,Annual,140,28,No
57,Female,15,4,5,30,Standard,Quarterly,960,21,Yes
28,Female,22,5,1,2,Premium,Quarterly,838,10,No
28,Male,56,7,2,25,Basic,Monthly,854,26,No
22,Female,45,29,8,7,Standard,Monthly,344,17,No
56,Male,11,10,10,10,Basic,Annual,841,26,No
23,Female,31,15,6,11,Basic,Quarterly,705,24,No
59,Male,44,7,8,9,Standard,Annual,890,26,No
46,Male,27,25,6,8,Basic,Monthly,150,28,No
56,Male,8,11,10,12,Premium,Quarterly,866,15,No
37,Female,25,19,8,26,Standard,Monthly,212,13,Yes
36,Male,46,5,2,11,Premium,Quarterly,524,6,No
59,Male,36,16,4,26,Standard,Annual,894,29,No
56,Female,15,19,3,2,Standard,Quarterly,650,3,No
51,Female,32,20,2,24,Standard,Quarterly,505,21,No
38,Female,29,18,4,16,Standard,Annual,909,24,No
20,Male,60,29,7,22,Standard,Quarterly,298,23,Yes
60,Female,16,24,6,21,Basic,Monthly,725,14,Yes
49,Male,59,9,2,18,Premium,Annual,733,18,No
20,Female,55,25,1,26,Premium,Quarterly,382,8,Yes
58,Female,29,20,0,20,Standard,Quarterly,126,9,No
27,Male,50,1,10,30,Standard,Annual,736,4,Yes
20,Female,29,5,4,17,Basic,Annual,584,26,No
63,Male,46,2,4,9,Basic,Quarterly,969,30,Yes
47,Female,33,5,4,23,Premium,Quarterly,393,14,Yes
63,Male,18,15,3,27,Premium,Annual,722,26,No
62,Male,51,9,2,0,Premium,Monthly,654,16,No
46,Female,35,29,8,5,Standard,Monthly,805,2,No
49,Female,33,23,3,21,Premium,Annual,230,23,Yes
46,Female,52,26,5,27,Basic,Monthly,403,14,Yes
64,Female,11,7,1,8,Basic,Annual,984,14,No
60,Male,13,17,7,19,Basic,Monthly,849,26,No
54,Male,44,24,1,16,Premium,Annual,664,3,No
47,Female,52,3,6,1,Premium,Quarterly,408,7,No
37,Male,55,28,4,26,Basic,Monthly,826,17,No
19,Female,1,13,6,9,Basic,Monthly,302,3,No
52,Female,33,14,8,2,Standard,Quarterly,846,11,No
62,Male,5,18,6,14,Standard,Annual,205,22,No
48,Male,54,15,7,18,Standard,Quarterly,131,11,Yes
60,Male,18,27,1,30,Standard,Annual,426,30,No
58,Male,15,2,1,13,Premium,Annual,309,23,No
43,Male,31,8,7,28,Premium,Monthly,313,10,Yes
26,Male,41,27,8,15,Premium,Monthly,889,6,No
41,Female,45,21,5,18,Basic,Quarterly,799,7,Yes
22,Male,47,15,10,24,Premium,Annual,237,17,Yes
45,Male,14,20,1,13,Basic,Quarterly,828,11,No
38,Male,59,30,1,28,Premium,Quarterly,481,28,No
28,Male,49,22,6,29,Standard,Quarterly,187,13,Yes
56,Male,22,21,5,13,Premium,Monthly,632,22,No
42,Female,17,14,6,22,Standard,Annual,207,10,Yes
20,Female,59,19,0,10,Premium,Quarterly,366,22,No
62,Male,52,1,4,22,Standard,Monthly,153,26,Yes
22,Female,37,6,8,17,Basic,Quarterly,212,12,Yes
30,Female,46,18,4,13,Standard,Quarterly,300,21,No
30,Female,55,27,6,11,Standard,Monthly,662,28,No
44,Male,21,18,4,27,Basic,Quarterly,388,12,No
58,Male,38,26,0,27,Premium,Annual,874,12,No
59,Male,41,18,6,18,Standard,Annual,971,12,Yes
65,Male,55,10,5,18,Premium,Quarterly,689,6,Yes
30,Female,42,15,8,8,Premium,Monthly,280,20,No
28,Female,35,19,2,2,Premium,Monthly,506,22,No
58,Male,39,16,0,8,Basic,Monthly,690,17,No
63,Female,56,28,1,17,Basic,Quarterly,821,7,No
62,Female,35,8,7,8,Basic,Annual,514,17,No
32,Female,47,20,0,8,Premium,Monthly,885,9,No
20,Male,19,10,5,11,Basic,Quarterly,644,8,No
28,Female,28,9,5,9,Premium,Monthly,628,18,No
19,Male,54,27,6,30,Standard,Quarterly,131,20,Yes
24,Female,48,29,10,30,Premium,Monthly,278,26,Yes
43,Male,28,4,10,9,Premium,Annual,280,15,No
38,Female,13,13,6,27,Standard,Quarterly,466,14,Yes
52,Female,26,28,3,6,Standard,Quarterly,953,5,No
25,Male,4,14,5,16,Premium,Annual,465,17,No
37,Male,10,22,2,3,Premium,Annual,292,6,No
56,Male,35,15,4,18,Standard,Monthly,940,1,No
55,Female,28,11,0,21,Premium,Monthly,741,4,Yes
41,Female,14,18,10,15,Basic,Annual,380,7,No
61,Male,46,5,2,3,Premium,Annual,501,21,No
20,Female,50,8,2,30,Basic,Annual,407,29,Yes
40,Male,5,1,3,21,Standard,Annual,101,12,Yes
19,Male,40,22,0,24,Premium,Quarterly,212,20,No
44,Male,34,30,4,28,Standard,Quarterly,654,26,No
24,Female,8,7,8,29,Premium,Annual,226,4,Yes
28,Female,1,4,6,1,Premium,Annual,337,6,No
41,Male,35,8,3,28,Standard,Annual,163,8,No
20,Female,56,12,5,14,Basic,Quarterly,837,9,No
52,Male,33,27,0,19,Basic,Monthly,719,18,No
47,Male,14,28,4,26,Basic,Quarterly,987,2,No
47,Female,23,6,1,17,Basic,Annual,300,27,No
18,Female,50,10,6,27,Standard,Monthly,487,18,Yes
37,Male,42,26,5,24,Premium,Quarterly,862,9,Yes
36,Male,38,14,4,7,Basic,Annual,863,7,No
48,Female,35,26,3,5,Premium,Quarterly,415,20,No
35,Female,21,19,9,11,Basic,Monthly,607,21,No
52,Female,9,2,5,3,Premium,Monthly,592,24,Yes
58,Female,42,24,8,3,Standard,Annual,256,17,No
62,Male,35,18,4,24,Premium,Quarterly,603,9,No
19,Female,26,18,10,18,Standard,Monthly,721,25,Yes
41,Female,49,27,0,5,Standard,Monthly,329,8,No
46,Male,12,26,9,3,Basic,Monthly,173,29,No
29,Male,24,30,1,7,Standard,Annual,101,30,No
24,Male,56,23,3,30,Standard,Quarterly,123,14,No
31,Female,16,8,0,1,Basic,Annual,438,23,No
49,Male,41,5,10,4,Basic,Annual,532,27,No
29,Female,37,16,0,7,Standard,Monthly,845,2,No
24,Female,42,17,7,8,Basic,Annual,210,29,No
19,Female,29,28,1,21,Basic,Annual,802,17,No
55,Male,20,18,5,4,Premium,Quarterly,305,26,No
62,Male,3,6,5,0,Standard,Quarterly,808,26,No
45,Female,47,19,10,23,Basic,Monthly,464,24,Yes
31,Male,52,7,10,19,Premium,Quarterly,197,3,Yes
59,Female,7,30,4,5,Premium,Quarterly,646,9,No
64,Male,51,1,0,22,Basic,Monthly,800,9,No
51,Female,57,21,3,11,Premium,Monthly,471,11,No
36,Male,15,10,8,0,Standard,Annual,672,2,No
23,Female,39,11,2,24,Standard,Monthly,666,25,Yes
61,Male,42,3,2,24,Standard,Monthly,525,25,No
25,Female,32,1,0,5,Standard,Annual,404,27,No
45,Female,59,11,7,20,Standard,Annual,175,29,Yes
58,Female,60,5,8,17,Premium,Annual,951,13,Yes
59,Male,7,30,10,21,Standard,Annual,285,4,No
52,Male,37,17,5,10,Premium,Monthly,476,1,No
34,Female,57,9,8,10,Standard,Monthly,603,25,No
41,Male,2,22,7,23,Standard,Monthly,681,23,No
27,Female,21,24,4,30,Standard,Annual,823,28,No
26,Male,54,26,8,27,Basic,Annual,525,30,Yes
63,Female,8,22,5,12,Basic,Annual,582,27,No
53,Male,46,5,5,4,Premium,Monthly,977,2,Yes
42,Female,38,18,2,18,Basic,Monthly,808,6,No
55,Male,56,30,8,10,Standard,Quarterly,550,17,No
23,Female,48,11,8,26,Basic,Monthly,169,15,Yes
36,Female,51,21,6,16,Premium,Monthly,278,27,Yes
44,Female,57,10,8,7,Standard,Monthly,163,17,No
45,Male,16,14,3,9,Basic,Monthly,474,14,No
29,Male,17,5,7,22,Basic,Annual,446,7,No
47,Female,37,20,8,16,Premium,Monthly,641,2,Yes
53,Female,44,21,10,27,Standard,Annual,650,3,Yes
24,Female,3,8,4,8,Premium,Quarterly,647,21,No
61,Female,4,29,6,6,Premium,Annual,428,8,No
22,Male,59,23,1,6,Premium,Monthly,707,12,No
46,Female,42,18,6,5,Premium,Monthly,719,6,No
55,Female,29,3,8,4,Basic,Quarterly,918,9,Yes
28,Male,16,15,2,28,Standard,Quarterly,704,23,No
28,Male,17,4,5,25,Basic,Annual,519,8,No
28,Female,34,28,9,8,Standard,Quarterly,672,27,No
30,Male,40,30,7,14,Basic,Monthly,296,25,No
35,Female,56,29,6,0,Basic,Quarterly,718,6,No
28,Male,2,8,7,16,Basic,Annual,141,8,No
27,Female,19,7,2,1,Premium,Monthly,928,12,No
60,Female,46,6,1,25,Standard,Monthly,621,2,Yes
22,Male,60,11,2,12,Premium,Monthly,736,1,No
51,Female,6,20,7,22,Premium,Monthly,999,3,Yes
49,Female,9,24,6,18,Basic,Quarterly,977,5,No
30,Male,41,17,2,14,Basic,Monthly,706,12,No
43,Male,33,26,6,0,Premium,Quarterly,593,26,No
57,Female,41,7,3,25,Premium,Quarterly,130,18,Yes
56,Female,30,24,7,10,Standard,Monthly,862,7,No
62,Female,47,8,10,7,Basic,Annual,107,9,No
29,Male,1,1,2,1,Premium,Quarterly,431,8,No
50,Female,41,11,7,10,Standard,Monthly,503,24,No
54,Female,30,6,1,24,Standard,Monthly,721,16,Yes
55,Female,39,30,6,1,Basic,Annual,795,2,No
30,Female,37,28,5,17,Premium,Annual,124,19,Yes
53,Female,45,25,1,11,Standard,Monthly,420,18,No
62,Male,14,5,0,8,Standard,Quarterly,197,5,No
57,Female,35,15,1,17,Premium,Quarterly,632,19,No
25,Female,46,30,7,22,Premium,Quarterly,982,18,Yes
34,Male,17,23,9,28,Standard,Quarterly,421,16,No
59,Female,1,11,5,23,Basic,Quarterly,687,9,No
35,Male,2,25,3,23,Basic,Monthly,899,29,No
24,Male,13,8,5,1,Premium,Quarterly,686,15,No
21,Female,45,5,2,10,Basic,Annual,288,11,No
50,Female,40,7,2,23,Basic,Annual,928,27,No
53,Male,10,17,4,25,Premium,Annual,321,12,No
27,Male,39,18,1,11,Basic,Annual,651,27,No
23,Male,20,14,3,22,Premium,Annual,924,20,No
41,Female,41,15,10,27,Premium,Quarterly,814,19,Yes
54,Male,41,21,2,17,Standard,Monthly,420,21,No
57,Female,55,12,4,26,Basic,Monthly,265,8,Yes
46,Male,37,21,9,6,Basic,Monthly,425,21,No
52,Female,33,27,0,1,Standard,Monthly,808,10,No
24,Male,32,28,5,9,Premium,Monthly,218,2,No
45,Male,3,6,1,17,Standard,Annual,418,10,No
47,Female,12,18,1,13,Premium,Annual,872,24,No
24,Female,14,11,9,6,Basic,Quarterly,693,27,No
65,Male,45,2,3,16,Standard,Annual,738,1,No
32,Male,52,5,10,7,Premium,Annual,839,10,No
39,Female,36,30,7,5,Standard,Quarterly,149,4,No
36,Female,28,24,2,24,Premium,Quarterly,136,1,Yes
57,Male,57,7,5,26,Premium,Annual,699,26,Yes
26,Male,19,17,7,23,Premium,Quarterly,870,2,No
54,Male,38,24,3,13,Basic,Annual,619,5,No
54,Female,46,6,2,15,Basic,Monthly,959,4,No
60,Female,12,5,1,17,Basic,Annual,826,7,No
45,Female,16,3,0,8,Basic,Monthly,763,24,No
21,Male,1,30,4,4,Premium,Annual,642,21,No
65,Male,27,17,3,23,Premium,Annual,328,23,No
21,Female,41,24,5,10,Basic,Annual,524,13,No
63,Female,60,30,0,7,Premium,Annual,494,19,No
40,Female,49,5,6,21,Standard,Monthly,292,14,Yes
31,Female,9,11,4,19,Premium,Annual,999,2,No
44,Male,45,26,3,1,Standard,Annual,927,9,No
33,Female,51,1,5,9,Standard,Quarterly,415,3,No
52,Female,56,10,4,5,Standard,Quarterly,444,9,No
25,Female,25,30,6,3,Premium,Annual,425,29,No
33,Female,16,4,5,21,Premium,Annual,233,21,Yes
18,Male,21,10,7,20,Basic,Monthly,968,18,No
63,Female,11,8,1,20,Standard,Annual,534,27,No
34,Male,58,29,0,13,Premium,Quarterly,238,29,No
31,Male,34,1,9,24,Premium,Annual,190,16,Yes
28,Female,43,23,0,9,Standard,Annual,421,13,No
44,Male,29,27,6,2,Standard,Monthly,653,8,No
30,Female,30,4,3,8,Basic,Quarterly,536,27,No
43,Male,31,3,2,20,Basic,Annual,406,13,No
36,Male,24,22,5,25,Standard,Annual,665,20,Yes
18,Male,8,3,7,20,Premium,Quarterly,412,26,No
46,Female,43,3,6,19,Basic,Monthly,165,23,Yes
54,Male,18,4,1,22,Basic,Monthly,272,29,No
42,Female,52,5,6,30,Standard,Quarterly,271,29,Yes
39,Female,12,28,0,1,Standard,Monthly,233,27,No
36,Female,36,24,2,13,Standard,Quarterly,535,1,No
19,Female,58,15,9,17,Basic,Monthly,317,2,Yes
50,Male,36,28,7,0,Premium,Annual,775,11,No
58,Female,9,19,4,26,Basic,Annual,805,21,No
43,Female,29,24,6,4,Premium,Quarterly,675,21,No
29,Female,33,2,7,13,Premium,Quarterly,190,9,No
20,Male,58,2,5,2,Basic,Quarterly,524,4,No
57,Female,34,1,5,20,Premium,Monthly,790,10,Yes
25,Male,47,28,0,22,Premium,Monthly,548,1,No
63,Male,23,13,3,19,Premium,Monthly,966,19,No
42,Male,25,6,4,6,Basic,Monthly,590,2,No
47,Male,1,21,10,21,Basic,Quarterly,271,21,No
50,Male,7,15,10,6,Basic,Quarterly,921,14,No
23,Male,7,27,8,18,Standard,Annual,776,16,No
37,Male,9,10,7,28,Basic,Annual,383,5,No
18,Female,1,21,8,17,Standard,Annual,360,28,No
64,Male,45,26,2,20,Premium,Quarterly,676,11,No
20,Female,6,21,8,26,Premium,Annual,948,3,No
22,Male,33,5,1,0,Premium,Quarterly,982,13,No
59,Female,44,6,10,26,Standard,Monthly,291,15,Yes
27,Female,21,4,10,21,Standard,Annual,900,4,No
24,Female,27,15,2,6,Standard,Quarterly,907,9,No
29,Male,49,25,10,24,Premium,Monthly,865,23,Yes
53,Male,30,24,4,24,Premium,Quarterly,346,29,No
38,Male,31,9,3,5,Standard,Monthly,158,10,No
44,Female,1,25,6,2,Premium,Monthly,474,2,No
51,Female,2,24,4,28,Standard,Quarterly,846,28,No
30,Male,53,7,9,20,Standard,Annual,307,8,Yes
22,Male,52,9,5,8,Premium,Annual,788,19,No
33,Female,55,15,8,30,Basic,Annual,611,16,Yes
24,Female,1,16,10,11,Basic,Monthly,583,20,No
46,Male,30,29,5,10,Premium,Annual,447,30,No
55,Male,1,9,9,17,Premium,Annual,337,30,No
30,Male,58,5,7,22,Premium,Quarterly,848,6,Yes
30,Male,35,25,1,26,Basic,Monthly,228,15,No
45,Male,13,29,3,18,Premium,Quarterly,642,18,No
22,Female,49,23,0,19,Standard,Annual,168,14,No
58,Female,38,6,9,29,Standard,Annual,284,29,Yes
22,Male,56,3,2,29,Basic,Quarterly,792,12,No
59,Male,3,7,6,22,Standard,Quarterly,466,6,No
56,Female,21,6,2,12,Basic,Quarterly,823,8,No
36,Male,30,19,9,11,Basic,Annual,121,3,No
35,Male,30,30,7,1,Standard,Quarterly,350,8,No
61,Male,49,8,4,10,Basic,Annual,880,14,No
48,Female,19,27,6,12,Premium,Monthly,992,12,No
23,Male,32,1,6,27,Standard,Quarterly,336,25,Yes
47,Male,40,8,9,8,Standard,Monthly,562,17,No
61,Male,53,30,0,0,Basic,Annual,521,1,No
61,Female,60,24,1,25,Standard,Quarterly,681,27,No
26,Female,59,8,4,26,Basic,Monthly,409,20,Yes
25,Female,15,30,1,4,Premium,Monthly,690,20,No
22,Female,49,7,8,8,Standard,Annual,751,5,No
30,Female,24,8,6,0,Basic,Monthly,191,17,No
51,Female,11,8,7,3,Basic,Monthly,649,20,No
42,Female,20,6,2,16,Standard,Monthly,445,29,No
25,Male,25,30,0,23,Premium,Annual,641,4,No
25,Female,24,17,6,22,Standard,Annual,489,12,Yes
22,Female,36,30,4,7,Basic,Annual,362,2,No
